# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.0 Build 156 04/24/2013 SJ Web Edition
# File: C:\Users\marco\Desktop\simulacao\calculadora\counter\pin_planner.csv
# Generated on: Mon Aug 06 05:22:39 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
clock1_in,Input,PIN_L1,2,B2_N1,PIN_M1,,,,
DUTY1[7],Input,PIN_M2,1,B1_N0,PIN_G22,,,,
DUTY1[6],Input,PIN_U11,8,B8_N0,PIN_G18,,,,
DUTY1[5],Input,PIN_U12,8,B8_N0,PIN_J15,,,,
DUTY1[4],Input,PIN_W12,7,B7_N1,PIN_H16,,,,
DUTY1[3],Input,PIN_V12,7,B7_N1,PIN_G21,,,,
DUTY1[2],Input,PIN_M22,6,B6_N0,PIN_F20,,,,
DUTY1[1],Input,PIN_L21,5,B5_N1,PIN_D22,,,,
DUTY1[0],Input,PIN_L22,5,B5_N1,PIN_G17,,,,
enable1,Input,PIN_R22,6,B6_N0,PIN_K20,,,,
out1[6],Output,PIN_E2,2,B2_N1,PIN_E20,,,,
out1[5],Output,PIN_F1,2,B2_N1,PIN_B18,,,,
out1[4],Output,PIN_F2,2,B2_N1,PIN_C17,,,,
out1[3],Output,PIN_H1,2,B2_N1,PIN_B20,,,,
out1[2],Output,PIN_H2,2,B2_N1,PIN_C18,,,,
out1[1],Output,PIN_J1,2,B2_N1,PIN_A18,,,,
out1[0],Output,PIN_J2,2,B2_N1,PIN_A20,,,,
out2[6],Output,PIN_D1,2,B2_N0,PIN_D21,,,,
out2[5],Output,PIN_D2,2,B2_N0,PIN_F21,,,,
out2[4],Output,PIN_G3,2,B2_N0,PIN_H15,,,,
out2[3],Output,PIN_H4,2,B2_N0,PIN_G20,,,,
out2[2],Output,PIN_H5,2,B2_N0,PIN_C22,,,,
out2[1],Output,PIN_H6,2,B2_N0,PIN_C19,,,,
out2[0],Output,PIN_E1,2,B2_N1,PIN_C21,,,,
out3[6],Output,PIN_D3,2,B2_N0,PIN_H17,,,,
out3[5],Output,PIN_E4,2,B2_N0,PIN_E21,,,,
out3[4],Output,PIN_E3,2,B2_N0,PIN_F22,,,,
out3[3],Output,PIN_C1,2,B2_N0,PIN_J17,,,,
out3[2],Output,PIN_C2,2,B2_N0,PIN_E22,,,,
out3[1],Output,PIN_G6,2,B2_N0,PIN_J18,,,,
out3[0],Output,PIN_G5,2,B2_N0,PIN_H18,,,,
out4[0],Output,PIN_F4,2,B2_N0,PIN_D20,,,,
out4[1],Output,PIN_D5,2,B2_N0,PIN_B19,,,,
out4[2],Output,PIN_D6,2,B2_N0,PIN_C20,,,,
out4[3],Output,PIN_J4,2,B2_N1,PIN_D19,,,,
out4[4],Output,PIN_L8,2,B2_N1,PIN_E19,,,,
out4[5],Output,PIN_F3,2,B2_N0,PIN_A19,,,,
out4[6],Output,PIN_D4,2,B2_N0,PIN_E18,,,,
